System check identified some issues:

WARNINGS:
?: (1_7.W001) MIDDLEWARE_CLASSES is not set.
	HINT: Django 1.7 changed the global defaults for the MIDDLEWARE_CLASSES. django.contrib.sessions.middleware.SessionMiddleware, django.contrib.auth.middleware.AuthenticationMiddleware, and django.contrib.messages.middleware.MessageMiddleware were removed from the defaults. If your project needs these middleware then you should configure this setting.
2020-03-25 04:10:00,045 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:15:00 UTC)" executed successfully
2020-03-25 04:15:00,003 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:20:00 UTC)" (scheduled at 2020-03-25 04:15:00+00:00)
2020-03-25 04:15:00,036 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:20:00 UTC)" executed successfully
2020-03-25 04:20:00,003 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:25:00 UTC)" (scheduled at 2020-03-25 04:20:00+00:00)
2020-03-25 04:20:00,021 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:25:00 UTC)" executed successfully
2020-03-25 04:25:00,003 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:30:00 UTC)" (scheduled at 2020-03-25 04:25:00+00:00)
2020-03-25 04:25:00,026 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:30:00 UTC)" executed successfully
2020-03-25 04:30:00,009 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:30:00 UTC)" (scheduled at 2020-03-25 04:30:00+00:00)
2020-03-25 04:30:00,060 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:35:00 UTC)" executed successfully
2020-03-25 04:35:00,005 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:35:00 UTC)" (scheduled at 2020-03-25 04:35:00+00:00)
2020-03-25 04:35:00,058 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:40:00 UTC)" executed successfully
2020-03-25 04:40:00,022 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:45:00 UTC)" (scheduled at 2020-03-25 04:40:00+00:00)
2020-03-25 04:40:00,064 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:45:00 UTC)" executed successfully
2020-03-25 04:45:00,006 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:45:00 UTC)" (scheduled at 2020-03-25 04:45:00+00:00)
2020-03-25 04:45:00,039 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:50:00 UTC)" executed successfully
2020-03-25 04:50:00,026 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:55:00 UTC)" (scheduled at 2020-03-25 04:50:00+00:00)
2020-03-25 04:50:00,077 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:55:00 UTC)" executed successfully
2020-03-25 04:55:00,002 [INFO] [service_name=notifier] [base] Running job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 04:55:00 UTC)" (scheduled at 2020-03-25 04:55:00+00:00)
2020-03-25 04:55:00,020 [INFO] [service_name=notifier] [base] Job "digest_job (trigger: cron[minute='*/5'], next run at: 2020-03-25 05:00:00 UTC)" executed successfully
